,PE,PB,PCF,PS,Turnover,CirculatedMarketValue,ChangeRatio,Amount,PSTTM,EPS,EPSToP,NAVToP,RevenuePerShareToP,DividentPerShareToP,NetProfitGrowth,EquityGrowth,RevenueGrowth,OperatingNCFGrowth,前十股东占比
0,0.21407626823816675,0.41574636979176793,0.05923662040973768,0.42523259750758713,0.21176224454874873,0.008668649460089432,0.03658630634854893,0.16170805263767535,0.44038293002902273,0.0053709316718361655,-0.17526661697084828,-0.3827216503649994,-0.28452462132379297,-0.2605662255113571,-0.034754756720927954,0.00205371457360487,-0.03545401514599096,-0.027431365168624332,-0.03684163258121281
1,-0.15817030185935857,0.17599356697836055,-0.001686602540423623,0.1585718729408165,-0.01527813188583536,0.3317245432182651,0.017165438663356073,0.2628508859318851,0.14718724030075198,0.5191012003490163,0.41729859501558353,0.11106965764190993,0.09360060765663741,0.1926025520019068,0.22590333840246493,0.22136538459520932,0.19923947287284938,-0.0023115469837670594,0.27568550291458976
2,0.02928797618057834,0.004678124591691292,-0.011147507232140016,-0.013305743389284086,0.04237659531311132,-0.2637860511566232,-0.010331622184265931,-0.17215721348943358,-0.014041759078225077,-0.13354606787890033,-0.1252321894333327,-0.04257625558943927,0.07211508682556135,-0.1259057135977855,0.09473875886639008,0.6376536399825907,0.6518045615316179,-0.005444492285747063,-0.02566110335655661
3,0.06774803484297043,-0.09470535137277292,-0.012189511115265788,-0.26371017531012203,0.2610507853890992,0.429792390694989,0.1974857286540391,0.5966150500279883,-0.25096881138802113,-0.027033829752325905,-0.2066225882525124,-0.02771099689288222,0.06516566938980829,-0.18441180122249626,-0.12074016243612862,0.09121339118077977,0.1317448680034313,0.0332650911425313,-0.2865968044256356
4,0.28356191554643556,0.04551415725820164,0.0263242591026692,0.23606417466979612,-0.32902310527679834,0.2654759357600257,-0.2632812751848556,0.046362480836263355,0.21219329619058078,-0.1483646921518122,-0.21023501432251146,0.3135689151339284,0.3637474063729469,0.09665526694638397,-0.4758109071756047,0.05684729455363583,0.07982539404791843,0.12688803099818188,0.0870898127316032
5,0.22271538535670354,0.051038388355430335,-0.057606309991119896,0.18036100513924,0.3402122511067221,-0.2875521954395721,0.5384610955850514,-0.014795084297876682,0.14059075643682153,-0.039265796137147826,0.17849394494291843,0.3243748331762219,0.44489365367814837,0.04464134746315654,0.065711233219159,-0.09648359051294629,-0.05310154186189714,0.1203818861506921,-0.18467797663034763
6,0.2001034246338793,0.0019081684793280573,0.4887771090327733,0.0032604475596050043,-0.0991714653639751,-0.06905361953191466,-0.4381121251289484,0.06629899158785525,0.006975315349127772,0.1037611600257125,0.2129242232109622,0.10564056936705213,0.1548227190062539,-0.2306500373275014,0.3139628233585254,-0.05736220231384408,-0.014151402746597201,-0.11228997527671673,-0.500945639320084
7,-0.0926086391078904,0.03362176981638295,0.4955031731741112,-0.058313884711908084,0.012250537807171672,-0.015742697995691664,0.08627267992407364,-0.03992515218923203,-0.05298493770291609,0.016383824488697456,-0.03436064531512227,-0.06994512605227413,-0.09555090676945911,0.030508043618969742,-0.004825407256561968,0.012228267879325037,0.0021469336363699656,0.8378595767862119,0.10265861978313194
8,-0.0009202278604640492,0.004668626194988964,0.7010389459052506,-0.042974157750626955,-0.011123506932138323,0.037751259738079884,0.3613108410406225,-0.04905514104981681,-0.038109005459895755,-0.05769281185072625,-0.05775068876456156,-0.01667540641266867,0.0001075459032899846,0.14742575916461892,-0.1943839197575524,0.028744884047902604,0.02876309468643023,-0.4973486068557328,0.23505635789856083
9,-0.18668566091732092,0.07874502176086795,0.08321225540761315,-0.034659035571558826,0.694320845133077,-0.19969609865287555,-0.5047835454964168,0.08147425324079395,-0.05806072692627459,0.002760211842392824,0.009228757706435279,0.013278052662812574,0.1613539046856493,0.191495655360336,-0.2681421042593384,-0.022686831469316715,-0.015626423357399395,-0.045337912591811066,0.16234932699398727
10,-0.5184376978680479,0.019858053734577413,0.0004861727222372058,0.08383958598143046,-0.1453857151640543,-0.15116961159605233,0.11810105360931346,-0.044532574244436296,0.09673306204987044,0.27115404815093436,0.16200970423942496,0.004948736228031464,-0.04934014442137648,-0.14696378587431053,-0.5684047725938234,0.0740020090755463,0.02188491950681419,-0.009353814514663729,-0.448960425784617
